student_id,assignment_id,question_id,modality,rubric_type,ai_score_norm,human_score_norm,semantic_entropy,ai_confidence,disagreement,response_length_words,response_length_sentences,avg_sentence_length,lexical_diversity_ttr,has_evidence_marker,estimated_num_claims,code_length_lines,code_length_chars,num_functions,syntax_error,cyclomatic_complexity_proxy,chart_type,has_xlabel,has_ylabel,has_title,num_detected_transformations,num_visualizations_function_calls,audio_length_minutes,transcript_length_words,speaking_tempo_wpm,filler_word_count,filler_word_rate,star_situation_present,star_task_present,star_action_present,star_result_present,star_completeness_score,response_length_words_missing,response_length_sentences_missing,avg_sentence_length_missing,lexical_diversity_ttr_missing,has_evidence_marker_missing,estimated_num_claims_missing,code_length_lines_missing,code_length_chars_missing,num_functions_missing,syntax_error_missing,cyclomatic_complexity_proxy_missing,chart_type_missing,has_xlabel_missing,has_ylabel_missing,has_title_missing,num_detected_transformations_missing,num_visualizations_function_calls_missing,audio_length_minutes_missing,transcript_length_words_missing,speaking_tempo_wpm_missing,filler_word_count_missing,filler_word_rate_missing,star_situation_present_missing,star_task_present_missing,star_action_present_missing,star_result_present_missing,star_completeness_score_missing
Student_1,_Student_1__Week2_pset_2,_Student_1__Week2_pset_2,Programming,scaffolded_coding,0.775876,0.9,0.54082,0.374917,-0.124124,,,,,,,288.0,8866.0,3.0,0.0,11.0,not_applicable,,,,,7.0,,,,,,,,,,,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Student_1,_Student_1__Week4_pset4_1,_Student_1__Week4_pset4_1,Programming,scaffolded_coding,0.786925,0.829365,0.391807,0.538424,-0.04244,,,,,,,572.0,15231.0,0.0,1.0,0.0,not_applicable,,,,,4.0,,,,,,,,,,,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Student_1,_Student_1__Week4_pset4_2,_Student_1__Week4_pset4_2,Programming,open_end_eda,0.6428817999999998,0.775,0.6455866666666666,0.2177199999999999,-0.132118,,,,,,,140.0,3681.0,0.0,1.0,0.0,line,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Student_1,_Student_1__Week5_pset5,_Student_1__Week5_pset5,Programming,open_end_eda,0.5986386551724139,0.888889,0.4522206896551722,0.4458620689655173,-0.29025,,,,,,,775.0,25003.0,0.0,0.0,3.0,line,1.0,1.0,1.0,4.0,43.0,,,,,,,,,,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Student_1,_Student_1__Week6_pset6_1,_Student_1__Week6_pset6_1,Programming,open_end_eda,0.605556,0.6,0.0,0.8,0.005556,,,,,,,241.0,7847.0,1.0,0.0,4.0,scatter,1.0,1.0,1.0,5.0,1.0,,,,,,,,,,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Student_1,_Student_1__Week6_pset6_2,_Student_1__Week6_pset6_2,Programming,open_end_eda,0.525463,0.65,0.0,0.8,-0.124537,,,,,,,241.0,7823.0,1.0,0.0,4.0,scatter,1.0,1.0,1.0,5.0,1.0,,,,,,,,,,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Student_1,_Student_1__Week7_pset,_Student_1__Week7_pset,Programming,open_end_eda,0.611574,0.625,0.0,0.766667,-0.013426,,,,,,,155.0,5403.0,0.0,0.0,2.0,line,1.0,1.0,1.0,2.0,9.0,,,,,,,,,,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Student_1,_Student_1__week_1_part_1_colab,_Student_1__week_1_part_1_colab,Programming,scaffolded_coding,0.802083,0.949495,0.17514,0.763281,-0.147412,,,,,,,191.0,3410.0,0.0,0.0,34.0,not_applicable,,,,,0.0,,,,,,,,,,,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Student_1,_Student_1__week_1_part_2_colab,_Student_1__week_1_part_2_colab,Programming,scaffolded_coding,0.8796627666666667,0.888889,0.31817,0.6022700000000001,-0.009226,,,,,,,200.0,4804.0,3.0,0.0,21.0,not_applicable,,,,,1.0,,,,,,,,,,,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Student_1,_Student_1__week_1_pset_1,_Student_1__week_1_pset_1,Programming,scaffolded_coding,0.518287,0.858333,0.657093,0.232383,-0.340046,,,,,,,419.0,16841.0,7.0,0.0,46.0,not_applicable,,,,,3.0,,,,,,,,,,,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Student_1,_Student_1__week_2_part_1_colab,_Student_1__week_2_part_1_colab,Programming,scaffolded_coding,0.934375,0.901235,0.2486,0.668662,0.03314,,,,,,,169.0,3667.0,3.0,0.0,23.0,not_applicable,,,,,0.0,,,,,,,,,,,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Student_1,_Student_1__week_2_part_2_colab,_Student_1__week_2_part_2_colab,Programming,scaffolded_coding,0.709305,0.894444,0.357083,0.576483,-0.185139,,,,,,,158.0,3709.0,0.0,0.0,12.0,not_applicable,,,,,2.0,,,,,,,,,,,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Student_2,_Student_2__Week4_pset4_1,_Student_2__Week4_pset4_1,Programming,scaffolded_coding,0.809306,0.892857,0.35642,0.578802,-0.083551,,,,,,,587.0,15659.0,0.0,1.0,0.0,not_applicable,,,,,4.0,,,,,,,,,,,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Student_2,_Student_2__Week4_pset4_2,_Student_2__Week4_pset4_2,Programming,open_end_eda,0.6102777666666666,0.8,0.9926633333333336,0.01634,-0.189722,,,,,,,102.0,3227.0,4.0,0.0,4.0,unknown,1.0,1.0,1.0,2.0,5.0,,,,,,,,,,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Student_2,_Student_2__Week6_pset6_1,_Student_2__Week6_pset6_1,Programming,open_end_eda,0.520833,0.5375,0.0,0.733333,-0.016667,,,,,,,346.0,10200.0,1.0,0.0,6.0,scatter,1.0,1.0,1.0,7.0,1.0,,,,,,,,,,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
